[2026-09-12 17:58:48] RUN 20260912_175848_4694da START
[2026-09-12 17:58:48] CREATE product_id=51 model=EGE-108 keyword=60-m2-tek-katli-prefabrik-ev-genis-verandali
[2026-09-12 17:58:48] CREATE product_id=52 model=EGE-115 keyword=96-m2-tek-katli-prefabrik-ev
[2026-09-12 17:58:48] CREATE product_id=53 model=EGE-109 keyword=60-m2-tek-katli-prefabrik-ev
[2026-09-12 17:58:48] CREATE product_id=54 model=EGE-107 keyword=59-m2-tek-katli-prefabrik-ev
[2026-09-12 17:58:48] CREATE product_id=55 model=EGE-110 keyword=64-m2-tek-katli-prefabrik-ev
[2026-09-12 17:58:48] CREATE product_id=56 model=EGE-111 keyword=69-m2-tek-katli-prefabrik-ev
[2026-09-12 17:58:48] CREATE product_id=57 model=EGE-112 keyword=74-m2-tek-katli-prefabrik-ev
[2026-09-12 17:58:48] CREATE product_id=58 model=EGE-116 keyword=101-m2-tek-katli-prefabrik-ev
[2026-09-12 17:58:48] CREATE product_id=59 model=EGE-118 keyword=109-m-tek-katli-prefabrik-ev
[2026-09-12 17:58:48] CREATE product_id=60 model=EGE-117 keyword=105-m2-tek-katli-prefabrik-ev
[2026-09-12 17:58:48] CREATE product_id=61 model=EGE-104 keyword=46-m2-tek-katli-prefabrik-ev
[2026-09-12 17:58:48] CREATE product_id=62 model=EGE-101 keyword=32-m2-tek-katli-prefabrik-ev
[2026-09-12 17:58:48] CREATE product_id=63 model=EGE-102 keyword=40-m2-tek-katli-prefabrik-ev-verandali
[2026-09-12 17:58:48] CREATE product_id=64 model=EGE-103 keyword=40-m2-tek-katli-jumbo-cati-prefabrik-ev
[2026-09-12 17:58:48] CREATE product_id=65 model=EGE-105 keyword=50-m2-tek-katli-prefabrik-ev
[2026-09-12 17:58:48] CREATE product_id=66 model=EGE-106 keyword=52-m2-tek-katli-prefabrik-ev
[2026-09-12 17:58:48] CREATE product_id=67 model=EGE-113 keyword=78-m2-tek-katli-prefabrik-ev
[2026-09-12 17:58:48] CREATE product_id=68 model=EGE-114 keyword=80-m-tek-katli-prefabrik-ev
[2026-09-12 17:58:48] CREATE product_id=69 model=EGE-119 keyword=123-m-tek-katli-prefabrik-ev
[2026-09-12 17:58:48] CREATE product_id=70 model=EGE-120 keyword=138-m2-tek-katli-prefabrik-ev
[2026-09-12 17:58:48] CREATE product_id=71 model=EGE-121 keyword=142-m2-prefabrik-ev
[2026-09-12 17:58:48] CREATE product_id=72 model=EGE-200 keyword=80-m2-dubleks-prefabrik-ev
[2026-09-12 17:58:48] CREATE product_id=73 model=EGE-201 keyword=92-m2-dubleks-prefabrik-ev
[2026-09-12 17:58:48] CREATE product_id=74 model=EGE-202 keyword=122-m2-dubleks-prefabrik-ev
[2026-09-12 17:58:48] CREATE product_id=75 model=EGE-203 keyword=131-m2-dubleks-prefabrik-ev
[2026-09-12 17:58:48] CREATE product_id=76 model=EGE-204 keyword=149-m2-dubleks-prefabrik-ev
[2026-09-12 17:58:48] CREATE product_id=77 model=EGE-205 keyword=155-m2-dubleks-prefabrik-ev
[2026-09-12 17:58:48] RUN 20260912_175848_4694da END created=27 updated=0 skipped=0
[2026-09-12 18:14:33] RUN 20260912_181433_8c3d1b START
[2026-09-12 18:14:33] CREATE product_id=78 model=EGE-108 keyword=60-m2-tek-katli-prefabrik-ev-genis-verandali
[2026-09-12 18:14:33] CREATE product_id=79 model=EGE-115 keyword=96-m2-tek-katli-prefabrik-ev
[2026-09-12 18:14:33] CREATE product_id=80 model=EGE-109 keyword=60-m2-tek-katli-prefabrik-ev
[2026-09-12 18:14:33] CREATE product_id=81 model=EGE-107 keyword=59-m2-tek-katli-prefabrik-ev
[2026-09-12 18:14:33] CREATE product_id=82 model=EGE-110 keyword=64-m2-tek-katli-prefabrik-ev
[2026-09-12 18:14:33] CREATE product_id=83 model=EGE-111 keyword=69-m2-tek-katli-prefabrik-ev
[2026-09-12 18:14:33] CREATE product_id=84 model=EGE-112 keyword=74-m2-tek-katli-prefabrik-ev
[2026-09-12 18:14:33] CREATE product_id=85 model=EGE-116 keyword=101-m2-tek-katli-prefabrik-ev
[2026-09-12 18:14:33] CREATE product_id=86 model=EGE-118 keyword=109-m-tek-katli-prefabrik-ev
[2026-09-12 18:14:33] CREATE product_id=87 model=EGE-117 keyword=105-m2-tek-katli-prefabrik-ev
[2026-09-12 18:14:33] CREATE product_id=88 model=EGE-104 keyword=46-m2-tek-katli-prefabrik-ev
[2026-09-12 18:14:33] CREATE product_id=89 model=EGE-101 keyword=32-m2-tek-katli-prefabrik-ev
[2026-09-12 18:14:33] CREATE product_id=90 model=EGE-102 keyword=40-m2-tek-katli-prefabrik-ev-verandali
[2026-09-12 18:14:33] CREATE product_id=91 model=EGE-103 keyword=40-m2-tek-katli-jumbo-cati-prefabrik-ev
[2026-09-12 18:14:33] CREATE product_id=92 model=EGE-105 keyword=50-m2-tek-katli-prefabrik-ev
[2026-09-12 18:14:33] CREATE product_id=93 model=EGE-106 keyword=52-m2-tek-katli-prefabrik-ev
[2026-09-12 18:14:33] CREATE product_id=94 model=EGE-113 keyword=78-m2-tek-katli-prefabrik-ev
[2026-09-12 18:14:33] CREATE product_id=95 model=EGE-114 keyword=80-m-tek-katli-prefabrik-ev
[2026-09-12 18:14:33] CREATE product_id=96 model=EGE-119 keyword=123-m-tek-katli-prefabrik-ev
[2026-09-12 18:14:33] CREATE product_id=97 model=EGE-120 keyword=138-m2-tek-katli-prefabrik-ev
[2026-09-12 18:14:33] CREATE product_id=98 model=EGE-121 keyword=142-m2-prefabrik-ev
[2026-09-12 18:14:33] CREATE product_id=99 model=EGE-200 keyword=80-m2-dubleks-prefabrik-ev
[2026-09-12 18:14:33] CREATE product_id=100 model=EGE-201 keyword=92-m2-dubleks-prefabrik-ev
[2026-09-12 18:14:33] CREATE product_id=101 model=EGE-202 keyword=122-m2-dubleks-prefabrik-ev
[2026-09-12 18:14:33] CREATE product_id=102 model=EGE-203 keyword=131-m2-dubleks-prefabrik-ev
[2026-09-12 18:14:33] CREATE product_id=103 model=EGE-204 keyword=149-m2-dubleks-prefabrik-ev
[2026-09-12 18:14:33] CREATE product_id=104 model=EGE-205 keyword=155-m2-dubleks-prefabrik-ev
[2026-09-12 18:14:33] RUN 20260912_181433_8c3d1b END created=27 updated=0 skipped=0
[2026-09-12 18:23:00] RUN 20260912_182300_5895f9 START
[2026-09-12 18:23:00] CREATE product_id=105 model=EGE-108 keyword=60-m2-tek-katli-prefabrik-ev-genis-verandali
[2026-09-12 18:23:00] CREATE product_id=106 model=EGE-115 keyword=96-m2-tek-katli-prefabrik-ev
[2026-09-12 18:23:00] CREATE product_id=107 model=EGE-109 keyword=60-m2-tek-katli-prefabrik-ev
[2026-09-12 18:23:00] CREATE product_id=108 model=EGE-107 keyword=59-m2-tek-katli-prefabrik-ev
[2026-09-12 18:23:00] CREATE product_id=109 model=EGE-110 keyword=64-m2-tek-katli-prefabrik-ev
[2026-09-12 18:23:00] CREATE product_id=110 model=EGE-111 keyword=69-m2-tek-katli-prefabrik-ev
[2026-09-12 18:23:00] CREATE product_id=111 model=EGE-112 keyword=74-m2-tek-katli-prefabrik-ev
[2026-09-12 18:23:00] CREATE product_id=112 model=EGE-116 keyword=101-m2-tek-katli-prefabrik-ev
[2026-09-12 18:23:00] CREATE product_id=113 model=EGE-118 keyword=109-m-tek-katli-prefabrik-ev
[2026-09-12 18:23:00] CREATE product_id=114 model=EGE-117 keyword=105-m2-tek-katli-prefabrik-ev
[2026-09-12 18:23:00] CREATE product_id=115 model=EGE-104 keyword=46-m2-tek-katli-prefabrik-ev
[2026-09-12 18:23:00] CREATE product_id=116 model=EGE-101 keyword=32-m2-tek-katli-prefabrik-ev
[2026-09-12 18:23:00] CREATE product_id=117 model=EGE-102 keyword=40-m2-tek-katli-prefabrik-ev-verandali
[2026-09-12 18:23:00] CREATE product_id=118 model=EGE-103 keyword=40-m2-tek-katli-jumbo-cati-prefabrik-ev
[2026-09-12 18:23:00] CREATE product_id=119 model=EGE-105 keyword=50-m2-tek-katli-prefabrik-ev
[2026-09-12 18:23:00] CREATE product_id=120 model=EGE-106 keyword=52-m2-tek-katli-prefabrik-ev
[2026-09-12 18:23:00] CREATE product_id=121 model=EGE-113 keyword=78-m2-tek-katli-prefabrik-ev
[2026-09-12 18:23:00] CREATE product_id=122 model=EGE-114 keyword=80-m-tek-katli-prefabrik-ev
[2026-09-12 18:23:00] CREATE product_id=123 model=EGE-119 keyword=123-m-tek-katli-prefabrik-ev
[2026-09-12 18:23:00] CREATE product_id=124 model=EGE-120 keyword=138-m2-tek-katli-prefabrik-ev
[2026-09-12 18:23:00] CREATE product_id=125 model=EGE-121 keyword=142-m2-prefabrik-ev
[2026-09-12 18:23:00] CREATE product_id=126 model=EGE-200 keyword=80-m2-dubleks-prefabrik-ev
[2026-09-12 18:23:00] CREATE product_id=127 model=EGE-201 keyword=92-m2-dubleks-prefabrik-ev
[2026-09-12 18:23:00] CREATE product_id=128 model=EGE-202 keyword=122-m2-dubleks-prefabrik-ev
[2026-09-12 18:23:00] CREATE product_id=129 model=EGE-203 keyword=131-m2-dubleks-prefabrik-ev
[2026-09-12 18:23:00] CREATE product_id=130 model=EGE-204 keyword=149-m2-dubleks-prefabrik-ev
[2026-09-12 18:23:00] CREATE product_id=131 model=EGE-205 keyword=155-m2-dubleks-prefabrik-ev
[2026-09-12 18:23:00] RUN 20260912_182300_5895f9 END created=27 updated=0 skipped=0
[2026-09-12 18:29:12] RUN 20260912_182912_62a2d1 START
[2026-09-12 18:29:12] CREATE product_id=132 model=EGE-108 keyword=60-m2-tek-katli-prefabrik-ev-genis-verandali
[2026-09-12 18:29:12] CREATE product_id=133 model=EGE-115 keyword=96-m2-tek-katli-prefabrik-ev
[2026-09-12 18:29:12] CREATE product_id=134 model=EGE-109 keyword=60-m2-tek-katli-prefabrik-ev
[2026-09-12 18:29:12] CREATE product_id=135 model=EGE-107 keyword=59-m2-tek-katli-prefabrik-ev
[2026-09-12 18:29:12] CREATE product_id=136 model=EGE-110 keyword=64-m2-tek-katli-prefabrik-ev
[2026-09-12 18:29:12] CREATE product_id=137 model=EGE-111 keyword=69-m2-tek-katli-prefabrik-ev
[2026-09-12 18:29:12] CREATE product_id=138 model=EGE-112 keyword=74-m2-tek-katli-prefabrik-ev
[2026-09-12 18:29:12] CREATE product_id=139 model=EGE-116 keyword=101-m2-tek-katli-prefabrik-ev
[2026-09-12 18:29:12] CREATE product_id=140 model=EGE-118 keyword=109-m-tek-katli-prefabrik-ev
[2026-09-12 18:29:12] CREATE product_id=141 model=EGE-117 keyword=105-m2-tek-katli-prefabrik-ev
[2026-09-12 18:29:12] CREATE product_id=142 model=EGE-104 keyword=46-m2-tek-katli-prefabrik-ev
[2026-09-12 18:29:12] CREATE product_id=143 model=EGE-101 keyword=32-m2-tek-katli-prefabrik-ev
[2026-09-12 18:29:12] CREATE product_id=144 model=EGE-102 keyword=40-m2-tek-katli-prefabrik-ev-verandali
[2026-09-12 18:29:12] CREATE product_id=145 model=EGE-103 keyword=40-m2-tek-katli-jumbo-cati-prefabrik-ev
[2026-09-12 18:29:12] CREATE product_id=146 model=EGE-105 keyword=50-m2-tek-katli-prefabrik-ev
[2026-09-12 18:29:12] CREATE product_id=147 model=EGE-106 keyword=52-m2-tek-katli-prefabrik-ev
[2026-09-12 18:29:12] CREATE product_id=148 model=EGE-113 keyword=78-m2-tek-katli-prefabrik-ev
[2026-09-12 18:29:12] CREATE product_id=149 model=EGE-114 keyword=80-m-tek-katli-prefabrik-ev
[2026-09-12 18:29:12] CREATE product_id=150 model=EGE-119 keyword=123-m-tek-katli-prefabrik-ev
[2026-09-12 18:29:12] CREATE product_id=151 model=EGE-120 keyword=138-m2-tek-katli-prefabrik-ev
[2026-09-12 18:29:12] CREATE product_id=152 model=EGE-121 keyword=142-m2-prefabrik-ev
[2026-09-12 18:29:12] CREATE product_id=153 model=EGE-200 keyword=80-m2-dubleks-prefabrik-ev
[2026-09-12 18:29:12] CREATE product_id=154 model=EGE-201 keyword=92-m2-dubleks-prefabrik-ev
[2026-09-12 18:29:12] CREATE product_id=155 model=EGE-202 keyword=122-m2-dubleks-prefabrik-ev
[2026-09-12 18:29:12] CREATE product_id=156 model=EGE-203 keyword=131-m2-dubleks-prefabrik-ev
[2026-09-12 18:29:12] CREATE product_id=157 model=EGE-204 keyword=149-m2-dubleks-prefabrik-ev
[2026-09-12 18:29:12] CREATE product_id=158 model=EGE-205 keyword=155-m2-dubleks-prefabrik-ev
[2026-09-12 18:29:12] RUN 20260912_182912_62a2d1 END created=27 updated=0 skipped=0
[2026-09-12 18:32:41] RUN 20260912_183241_8c0bd1 START
[2026-09-12 18:32:41] UPDATE product_id=132 model=EGE-108 keyword=60-m2-tek-katli-prefabrik-ev-genis-verandali
[2026-09-12 18:32:41] UPDATE product_id=133 model=EGE-115 keyword=96-m2-tek-katli-prefabrik-ev
[2026-09-12 18:32:41] UPDATE product_id=134 model=EGE-109 keyword=60-m2-tek-katli-prefabrik-ev
[2026-09-12 18:32:41] UPDATE product_id=135 model=EGE-107 keyword=59-m2-tek-katli-prefabrik-ev
[2026-09-12 18:32:41] UPDATE product_id=136 model=EGE-110 keyword=64-m2-tek-katli-prefabrik-ev
[2026-09-12 18:32:41] UPDATE product_id=137 model=EGE-111 keyword=69-m2-tek-katli-prefabrik-ev
[2026-09-12 18:32:41] UPDATE product_id=138 model=EGE-112 keyword=74-m2-tek-katli-prefabrik-ev
[2026-09-12 18:32:41] UPDATE product_id=139 model=EGE-116 keyword=101-m2-tek-katli-prefabrik-ev
[2026-09-12 18:32:41] UPDATE product_id=140 model=EGE-118 keyword=109-m-tek-katli-prefabrik-ev
[2026-09-12 18:32:41] UPDATE product_id=141 model=EGE-117 keyword=105-m2-tek-katli-prefabrik-ev
[2026-09-12 18:32:41] UPDATE product_id=142 model=EGE-104 keyword=46-m2-tek-katli-prefabrik-ev
